model,model_name,image_id,category,code_language,dists,clip_sim,edge_iou,edge_f1
claude-opus-4.6,Claude Opus 4.6,2771,metric geometry - length,unknown,0.2339109182357788,0.8893663883209229,0.05168072506785393,0.09828216105538824
claude-opus-4.6,Claude Opus 4.6,2773,analytic geometry,unknown,0.3579087257385254,0.8515826463699341,0.03596491366624832,0.06943268438760314
claude-opus-4.6,Claude Opus 4.6,2775,combinatorics,unknown,0.2608593702316284,0.9212671518325806,0.06207443028688431,0.11689280523037723
claude-opus-4.6,Claude Opus 4.6,2776,analytic geometry,unknown,0.19433945417404175,0.9236186146736145,0.05405160039663315,0.10255968231716142
claude-opus-4.6,Claude Opus 4.6,2777,statistics,unknown,0.28529471158981323,0.8704178333282471,0.10096437484025955,0.18341079957209355
claude-opus-4.6,Claude Opus 4.6,2778,algebra,unknown,0.1666392683982849,0.9819162487983704,0.03187226504087448,0.06177560495673239
claude-opus-4.6,Claude Opus 4.6,2780,combinatorics,unknown,0.2278456687927246,0.9668369889259338,0.2794692814350128,0.43685185872479837
claude-opus-4.6,Claude Opus 4.6,2783,algebra,unknown,0.16526883840560913,0.9712533950805664,0.133785218000412,0.2359974681782222
claude-opus-4.6,Claude Opus 4.6,2784,combinatorics,unknown,0.28822535276412964,0.9567322731018066,0.09592337906360626,0.17505490088087147
claude-opus-4.6,Claude Opus 4.6,2785,analytic geometry,unknown,0.3133140206336975,0.8039051294326782,0.12384745478630066,0.22039904709431482
claude-opus-4.6,Claude Opus 4.6,2786,statistics,unknown,0.29609549045562744,0.8931758999824524,0.14813341200351715,0.25804215058683255
claude-opus-4.6,Claude Opus 4.6,2787,metric geometry - area,unknown,0.34677332639694214,0.8748878240585327,0.07996142655611038,0.14808200888759476
claude-opus-4.6,Claude Opus 4.6,2788,metric geometry - length,unknown,0.3033861517906189,0.8844412565231323,0.08734069764614105,0.16065010389312198
claude-opus-4.6,Claude Opus 4.6,2789,algebra,unknown,0.16759276390075684,0.9445807933807373,0.2607940435409546,0.4136980840465873
claude-opus-4.6,Claude Opus 4.6,2793,metric geometry - length,unknown,0.1764129400253296,0.9631410241127014,0.04892174154520035,0.09328006525609005
claude-opus-4.6,Claude Opus 4.6,2794,metric geometry - length,unknown,0.4286354184150696,0.8010289669036865,0.010782144032418728,0.0213342602345729
claude-opus-4.6,Claude Opus 4.6,2798,solid geometry,unknown,0.3032646179199219,0.8787979483604431,0.03765713423490524,0.07258107265525365
claude-opus-4.6,Claude Opus 4.6,28,counting,unknown,0.12865877151489258,0.9768358469009399,0.0948772206902504,0.17331116137343053
claude-opus-4.6,Claude Opus 4.6,2803,metric geometry - area,unknown,0.20909011363983154,0.9163540005683899,0.05884820595383644,0.1111551280120007
claude-opus-4.6,Claude Opus 4.6,2806,solid geometry,unknown,0.2683485746383667,0.9308434724807739,0.04439685493707657,0.08501912427219743
claude-opus-4.6,Claude Opus 4.6,2811,metric geometry - area,unknown,0.20970171689987183,0.9722881317138672,0.19889557361602783,0.33179800385705893
claude-opus-4.6,Claude Opus 4.6,2814,solid geometry,unknown,0.2819173336029053,0.899243175983429,0.07714691758155823,0.1432430802585904
claude-opus-4.6,Claude Opus 4.6,2818,combinatorial geometry,unknown,0.2304171919822693,0.9429737329483032,0.1321783810853958,0.23349391045375253
claude-opus-4.6,Claude Opus 4.6,282,metric geometry - length,unknown,0.2555364966392517,0.9406231641769409,0.061330441385507584,0.115572753206213
claude-opus-4.6,Claude Opus 4.6,2820,graph theory,unknown,0.312128484249115,0.8907521367073059,0.08962716162204742,0.1645097723349047
claude-opus-4.6,Claude Opus 4.6,2821,analytic geometry,unknown,0.3680064082145691,0.931950032711029,0.02578348107635975,0.05027080537432352
claude-opus-4.6,Claude Opus 4.6,2824,combinatorics,unknown,0.4261019229888916,0.884118914604187,0.04672897234559059,0.08928571086528517
claude-opus-4.6,Claude Opus 4.6,2825,metric geometry - length,unknown,0.17512142658233643,0.9769939184188843,0.28362447023391724,0.4419118935090523
claude-opus-4.6,Claude Opus 4.6,2828,metric geometry - length,unknown,0.2568073868751526,0.9211621880531311,0.08553295582532883,0.15758701955275436
claude-opus-4.6,Claude Opus 4.6,283,analytic geometry,unknown,0.265344500541687,0.8342308402061462,0.05542893707752228,0.10503584996800856
claude-opus-4.6,Claude Opus 4.6,2830,metric geometry - area,unknown,0.2152620553970337,0.9265899062156677,0.20415028929710388,0.33907776645557147
claude-opus-4.6,Claude Opus 4.6,2834,metric geometry - length,unknown,0.20005321502685547,0.8739926218986511,0.04097295179963112,0.0787204908960155
claude-opus-4.6,Claude Opus 4.6,2837,metric geometry - length,unknown,0.3301060199737549,0.896329402923584,0.04547227919101715,0.08698897027424106
claude-opus-4.6,Claude Opus 4.6,284,combinatorics,unknown,0.30592793226242065,0.934641420841217,0.09409630298614502,0.1720073524959228
claude-opus-4.6,Claude Opus 4.6,2840,combinatorial geometry,unknown,0.19183123111724854,0.9372525215148926,0.11941637098789215,0.21335469048745923
claude-opus-4.6,Claude Opus 4.6,2841,metric geometry - area,unknown,0.32073432207107544,0.8633831739425659,0.0481279119849205,0.09183595452213779
claude-opus-4.6,Claude Opus 4.6,2842,transformation geometry,unknown,0.22599279880523682,0.9263064861297607,0.17306573688983917,0.2950657100103328
claude-opus-4.6,Claude Opus 4.6,2843,metric geometry - area,unknown,0.3072153925895691,0.9373657703399658,0.0696706771850586,0.13026565515414054
claude-opus-4.6,Claude Opus 4.6,2846,combinatorics,unknown,0.26801735162734985,0.8846861720085144,0.08274827897548676,0.152848592329165
claude-opus-4.6,Claude Opus 4.6,2849,metric geometry - length,unknown,0.2916167974472046,0.9547002911567688,0.046987734735012054,0.08975794229966738
claude-opus-4.6,Claude Opus 4.6,285,analytic geometry,unknown,0.16355305910110474,0.9625309109687805,0.021011460572481155,0.04115812903217405
claude-opus-4.6,Claude Opus 4.6,2850,solid geometry,unknown,0.25824880599975586,0.892809271812439,0.0937742292881012,0.1714690754555165
claude-opus-4.6,Claude Opus 4.6,2851,combinatorics,unknown,0.33465278148651123,0.8555821776390076,0.21413306891918182,0.3527340954961801
claude-opus-4.6,Claude Opus 4.6,2852,logic,unknown,0.3246617913246155,0.8955087065696716,0.025814104825258255,0.0503290108193273
claude-opus-4.6,Claude Opus 4.6,2855,metric geometry - area,unknown,0.2404869794845581,0.9462427496910095,0.13566206395626068,0.23891273343282035
claude-opus-4.6,Claude Opus 4.6,2857,combinatorial geometry,unknown,0.20466643571853638,0.9694743156433105,0.31752079725265503,0.48199739563087657
claude-opus-4.6,Claude Opus 4.6,2858,combinatorial geometry,unknown,0.2330908179283142,0.8833407759666443,0.07517702132463455,0.13984120559652083
claude-opus-4.6,Claude Opus 4.6,2859,combinatorial geometry,unknown,0.3072526454925537,0.9381920099258423,0.15560875833034515,0.2693104375931494
claude-opus-4.6,Claude Opus 4.6,2861,metric geometry - area,unknown,0.30898213386535645,0.8779982328414917,0.01597484201192856,0.03144732056636431
claude-opus-4.6,Claude Opus 4.6,2863,metric geometry - area,unknown,0.30962294340133667,0.8036086559295654,0.0729558989405632,0.13599048729234306
claude-opus-4.6,Claude Opus 4.6,2869,combinatorics,unknown,0.17557311058044434,0.9054369926452637,0.056381940841674805,0.10674537021916755
claude-opus-4.6,Claude Opus 4.6,287,algebra,unknown,0.18903100490570068,0.9412627816200256,0.07985536009073257,0.1479001047075657
claude-opus-4.6,Claude Opus 4.6,2871,combinatorics,unknown,0.1362302303314209,0.9656277894973755,0.24423539638519287,0.39258711598998686
claude-opus-4.6,Claude Opus 4.6,2872,combinatorics,unknown,0.3203851580619812,0.9153537750244141,0.08098071068525314,0.14982822548151475
claude-opus-4.6,Claude Opus 4.6,2874,combinatorial geometry,unknown,0.1971057653427124,0.8718683123588562,0.18350568413734436,0.31010527590975184
claude-opus-4.6,Claude Opus 4.6,2875,metric geometry - area,unknown,0.15692412853240967,0.9303785562515259,0.0385708324611187,0.07427675156263874
claude-opus-4.6,Claude Opus 4.6,2876,transformation geometry,unknown,0.2509734630584717,0.9571800827980042,0.10705320537090302,0.1934020937002301
claude-opus-4.6,Claude Opus 4.6,2877,metric geometry - area,unknown,0.26860857009887695,0.9081874489784241,0.04767836257815361,0.09101718073087449
claude-opus-4.6,Claude Opus 4.6,2878,combinatorial geometry,unknown,0.30747365951538086,0.8658614754676819,0.06105181574821472,0.1150779182294715
claude-opus-4.6,Claude Opus 4.6,2879,combinatorial geometry,unknown,0.30747365951538086,0.8658614754676819,0.06105181574821472,0.1150779182294715
claude-opus-4.6,Claude Opus 4.6,2880,combinatorics,unknown,0.44688141345977783,0.8180843591690063,0.056900862604379654,0.10767493026026297
claude-opus-4.6,Claude Opus 4.6,2881,combinatorics,unknown,0.2390984296798706,0.9611896872520447,0.12664681673049927,0.22482078444891535
claude-opus-4.6,Claude Opus 4.6,2882,metric geometry - length,unknown,0.24143069982528687,0.9503129720687866,0.0681290477514267,0.12756707846321458
claude-opus-4.6,Claude Opus 4.6,2885,metric geometry - area,unknown,0.08701527118682861,0.9364136457443237,0.3104911744594574,0.47385464260048743
claude-opus-4.6,Claude Opus 4.6,2886,metric geometry - length,unknown,0.187677800655365,0.9556503295898438,0.01405838131904602,0.027726966639232915
claude-opus-4.6,Claude Opus 4.6,2887,metric geometry - length,tikz,0.14007431268692017,0.9785191416740417,0.4672718048095703,0.6369260529644833
claude-opus-4.6,Claude Opus 4.6,2893,metric geometry - length,unknown,0.14751148223876953,0.9103557467460632,0.2735521197319031,0.42958921832668207
claude-opus-4.6,Claude Opus 4.6,2894,metric geometry - angle,unknown,0.18370652198791504,0.9347906112670898,0.08916661888360977,0.16373366338228867
claude-opus-4.6,Claude Opus 4.6,2896,metric geometry - length,unknown,0.2302740216255188,0.9548969268798828,0.050841718912124634,0.0967638031200107
claude-opus-4.6,Claude Opus 4.6,2897,metric geometry - area,unknown,0.25473636388778687,0.9103477001190186,0.0153226712718606,0.030182859787588973
claude-opus-4.6,Claude Opus 4.6,2898,metric geometry - angle,unknown,0.13620680570602417,0.9740827083587646,0.03571792319417,0.0689723004657871
claude-opus-4.6,Claude Opus 4.6,29,counting,unknown,0.18754661083221436,0.945415735244751,0.0762966126203537,0.14177618498129965
claude-opus-4.6,Claude Opus 4.6,2901,metric geometry - length,unknown,0.2525802254676819,0.9356299638748169,0.031942352652549744,0.06190724369635376
claude-opus-4.6,Claude Opus 4.6,2903,analytic geometry,unknown,0.20292776823043823,0.9657523036003113,0.05859311297535896,0.11069996712700197
claude-opus-4.6,Claude Opus 4.6,2905,metric geometry - angle,unknown,0.27472466230392456,0.7742063403129578,0.11115127056837082,0.20006505114460701
claude-opus-4.6,Claude Opus 4.6,2907,metric geometry - area,unknown,0.14309686422348022,0.9696027040481567,0.15033741295337677,0.261379689776916
claude-opus-4.6,Claude Opus 4.6,2909,analytic geometry,unknown,0.3157699704170227,0.9408189654350281,0.06177487596869469,0.11636153228083002
claude-opus-4.6,Claude Opus 4.6,2910,metric geometry - area,unknown,0.1924988031387329,0.9741597175598145,0.17972952127456665,0.3046961370899396
claude-opus-4.6,Claude Opus 4.6,2911,metric geometry - area,unknown,0.15486747026443481,0.9555997848510742,0.2553679645061493,0.40684161445652844
claude-opus-4.6,Claude Opus 4.6,2914,metric geometry - angle,unknown,0.15385586023330688,0.9762097597122192,0.08904413878917694,0.16352715017867614
claude-opus-4.6,Claude Opus 4.6,2916,metric geometry - length,unknown,0.2538291811943054,0.9367496371269226,0.09613140672445297,0.17540125028226589
claude-opus-4.6,Claude Opus 4.6,2917,combinatorial geometry,unknown,0.43141162395477295,0.8835577964782715,0.005391527432948351,0.010725229475225626
claude-opus-4.6,Claude Opus 4.6,2918,metric geometry - angle,unknown,0.20075219869613647,0.9777803421020508,0.01974925398826599,0.03873355012915967
claude-opus-4.6,Claude Opus 4.6,2919,combinatorial geometry,unknown,0.15827125310897827,0.9598067998886108,0.06584145128726959,0.12354830796740134
claude-opus-4.6,Claude Opus 4.6,2921,metric geometry - length,unknown,0.257358193397522,0.9167108535766602,0.017613118514418602,0.034616532912292636
claude-opus-4.6,Claude Opus 4.6,2923,analytic geometry,unknown,0.21757036447525024,0.9672547578811646,0.03619888424873352,0.0698686071548624
claude-opus-4.6,Claude Opus 4.6,2924,metric geometry - area,unknown,0.16223806142807007,0.9482266902923584,0.017104702070355415,0.03363410402244025
claude-opus-4.6,Claude Opus 4.6,2925,metric geometry - area,unknown,0.2522701025009155,0.9373157620429993,0.06780990958213806,0.1270074595753034
claude-opus-4.6,Claude Opus 4.6,2927,analytic geometry,unknown,0.22281795740127563,0.9765141010284424,0.037772320210933685,0.07279500537757792
claude-opus-4.6,Claude Opus 4.6,2928,transformation geometry,unknown,0.24120420217514038,0.9242902994155884,0.16777585446834564,0.2873425806397719
claude-opus-4.6,Claude Opus 4.6,293,graph theory,unknown,0.18795907497406006,0.960331916809082,0.1287386566400528,0.22811066413088385
claude-opus-4.6,Claude Opus 4.6,2932,metric geometry - angle,unknown,0.21727675199508667,0.9526605010032654,0.032915905117988586,0.06373395210995707
claude-opus-4.6,Claude Opus 4.6,2936,metric geometry - area,unknown,0.11446130275726318,0.9807069301605225,0.024625133723020554,0.0480666206562343
claude-opus-4.6,Claude Opus 4.6,2938,metric geometry - angle,unknown,0.17343884706497192,0.9831024408340454,0.14986509084701538,0.2606655289393
claude-opus-4.6,Claude Opus 4.6,294,algebra,unknown,0.17288631200790405,0.8566334843635559,0.11731743812561035,0.2099984115000885
claude-opus-4.6,Claude Opus 4.6,2940,metric geometry - angle,unknown,0.21462976932525635,0.9769701957702637,0.04896847903728485,0.09336501340328354
claude-opus-4.6,Claude Opus 4.6,2944,metric geometry - length,unknown,0.1652287244796753,0.9676750302314758,0.049264006316661835,0.09390202324051829
claude-opus-4.6,Claude Opus 4.6,2945,metric geometry - area,unknown,0.194177508354187,0.978141188621521,0.045253437012434006,0.08658844611491796
claude-opus-4.6,Claude Opus 4.6,2948,metric geometry - area,unknown,0.2455047369003296,0.9190303683280945,0.034044958651065826,0.06584812092656077
claude-opus-4.6,Claude Opus 4.6,2949,solid geometry,unknown,0.23779767751693726,0.9419934153556824,0.05144137144088745,0.09784924730388171
claude-opus-4.6,Claude Opus 4.6,2950,analytic geometry,unknown,0.19523221254348755,0.9814683198928833,0.13677577674388885,0.24063809401456446
claude-opus-4.6,Claude Opus 4.6,2951,metric geometry - angle,unknown,0.20557427406311035,0.9281737804412842,0.02427750825881958,0.04740416217923271
claude-opus-4.6,Claude Opus 4.6,2952,metric geometry - length,unknown,0.11974078416824341,0.9844059348106384,0.13287104666233063,0.23457399303415422
claude-opus-4.6,Claude Opus 4.6,2954,metric geometry - angle,unknown,0.08773887157440186,0.983834981918335,0.1303475946187973,0.230632761048379
claude-opus-4.6,Claude Opus 4.6,2955,analytic geometry,unknown,0.25395041704177856,0.9073019027709961,0.14934293925762177,0.25987532246802303
claude-opus-4.6,Claude Opus 4.6,2956,metric geometry - area,unknown,0.1687796711921692,0.9085034132003784,0.05276951566338539,0.10024894360618782
claude-opus-4.6,Claude Opus 4.6,2957,analytic geometry,unknown,0.18726849555969238,0.9626752138137817,0.024766527116298676,0.04833593960249145
claude-opus-4.6,Claude Opus 4.6,2960,metric geometry - area,unknown,0.1628243327140808,0.9486584663391113,0.0762932077050209,0.14177030375159486
claude-opus-4.6,Claude Opus 4.6,2963,metric geometry - area,unknown,0.25886213779449463,0.9440171718597412,0.06418360024690628,0.12062505427230549
claude-opus-4.6,Claude Opus 4.6,2966,metric geometry - length,unknown,0.2786731719970703,0.9356695413589478,0.013805004768073559,0.02723404268058373
claude-opus-4.6,Claude Opus 4.6,2972,metric geometry - angle,tikz,0.15827703475952148,0.9844645857810974,0.036444954574108124,0.07032685041018422
claude-opus-4.6,Claude Opus 4.6,2973,analytic geometry,unknown,0.26731836795806885,0.9329907298088074,0.09152853488922119,0.16770708432680356
claude-opus-4.6,Claude Opus 4.6,2974,analytic geometry,unknown,0.19238251447677612,0.9701009392738342,0.01623586192727089,0.031952939623830875
claude-opus-4.6,Claude Opus 4.6,2975,metric geometry - angle,unknown,0.1918487548828125,0.9832385182380676,0.061298660933971405,0.11551632248551194
claude-opus-4.6,Claude Opus 4.6,2978,metric geometry - area,unknown,0.21261537075042725,0.977189302444458,0.06000647693872452,0.11321907742642268
claude-opus-4.6,Claude Opus 4.6,2984,analytic geometry,unknown,0.24162864685058594,0.9351953268051147,0.060392916202545166,0.11390667925507107
claude-opus-4.6,Claude Opus 4.6,2987,metric geometry - area,unknown,0.14894485473632812,0.9855806231498718,0.044122062623500824,0.0845151368322763
claude-opus-4.6,Claude Opus 4.6,299,analytic geometry,unknown,0.2934090495109558,0.9251013398170471,0.16721251606941223,0.2865159724910186
claude-opus-4.6,Claude Opus 4.6,2991,analytic geometry,tikz,0.2528496980667114,0.9657399654388428,0.09347674995660782,0.17097161972548217
claude-opus-4.6,Claude Opus 4.6,2998,metric geometry - area,unknown,0.055151164531707764,0.9673452377319336,0.07707393914461136,0.14311725571851258
claude-opus-4.6,Claude Opus 4.6,300,metric geometry - area,unknown,0.22627657651901245,0.9464184641838074,0.03546922653913498,0.06850851086238322
claude-opus-4.6,Claude Opus 4.6,3003,metric geometry - area,unknown,0.1261911392211914,0.9865009784698486,0.035643287003040314,0.06883313704380066
claude-opus-4.6,Claude Opus 4.6,3010,metric geometry - area,unknown,0.18583357334136963,0.9731881618499756,0.04418420046567917,0.08462912844448801
claude-opus-4.6,Claude Opus 4.6,3014,transformation geometry,unknown,0.2359805703163147,0.945342481136322,0.08823595196008682,0.16216327520977813
claude-opus-4.6,Claude Opus 4.6,3015,metric geometry - area,unknown,0.11473226547241211,0.978028416633606,0.1662539690732956,0.28510765081156075
claude-opus-4.6,Claude Opus 4.6,3016,metric geometry - area,unknown,0.21434807777404785,0.9483222365379333,0.06619711965322495,0.12417426411488704
claude-opus-4.6,Claude Opus 4.6,3018,metric geometry - angle,unknown,0.1941298246383667,0.9665521383285522,0.1680450737476349,0.2877373129869007
claude-opus-4.6,Claude Opus 4.6,3020,analytic geometry,unknown,0.3427208662033081,0.8934454917907715,0.06563036143779755,0.12317659591476716
claude-opus-4.6,Claude Opus 4.6,3021,analytic geometry,unknown,0.1738685965538025,0.9790218472480774,0.1949053704738617,0.3262272815653766
claude-opus-4.6,Claude Opus 4.6,3022,metric geometry - angle,unknown,0.18367475271224976,0.9637283682823181,0.045552026480436325,0.08713487906075087
claude-opus-4.6,Claude Opus 4.6,3024,metric geometry - area,unknown,0.1795724630355835,0.9779740571975708,0.10905522853136063,0.1966632958797161
claude-opus-4.6,Claude Opus 4.6,3029,metric geometry - angle,unknown,0.26113760471343994,0.9765538573265076,0.07351389527320862,0.1369593697802625
claude-opus-4.6,Claude Opus 4.6,3030,metric geometry - length,unknown,0.1459364891052246,0.9923180341720581,0.1577211171388626,0.2724682365538298
claude-opus-4.6,Claude Opus 4.6,3031,metric geometry - angle,unknown,0.12642544507980347,0.9013936519622803,0.1404539793729782,0.2463124123171178
claude-opus-4.6,Claude Opus 4.6,3034,metric geometry - angle,unknown,0.2114337682723999,0.9635158777236938,0.0574815608561039,0.10871406775422059
claude-opus-4.6,Claude Opus 4.6,3036,metric geometry - area,unknown,0.08872342109680176,0.9877911806106567,0.4092707931995392,0.5808263213457243
claude-opus-4.6,Claude Opus 4.6,3038,metric geometry - area,unknown,0.19516664743423462,0.9625434279441833,0.028239581733942032,0.05492801831760303
claude-opus-4.6,Claude Opus 4.6,3040,metric geometry - length,unknown,0.28011995553970337,0.9056212306022644,0.07470463216304779,0.13902356547666117
claude-opus-4.6,Claude Opus 4.6,305,logic,unknown,0.25279366970062256,0.8731509447097778,0.1418651044368744,0.24847962880644142
claude-opus-4.6,Claude Opus 4.6,319,metric geometry - length,unknown,0.2115960717201233,0.9604358077049255,0.06708274036645889,0.12573108564707247
claude-opus-4.6,Claude Opus 4.6,321,arithmetic,unknown,0.26462018489837646,0.7945647239685059,0.11505765467882156,0.206370768733441
claude-opus-4.6,Claude Opus 4.6,322,metric geometry - length,unknown,0.074482262134552,0.9940919876098633,0.13441619277000427,0.2369786215861594
claude-opus-4.6,Claude Opus 4.6,323,algebra,unknown,0.25396573543548584,0.9111859202384949,0.05091236159205437,0.09689173324768278
claude-opus-4.6,Claude Opus 4.6,331,algebra,unknown,0.21352243423461914,0.9104109406471252,0.2507518231868744,0.40096176394165317
claude-opus-4.6,Claude Opus 4.6,336,statistics,unknown,0.20729774236679077,0.8956003189086914,0.07659082859754562,0.1422840022741096
claude-opus-4.6,Claude Opus 4.6,337,algebra,unknown,0.2882411479949951,0.725499153137207,0.07506529241800308,0.13964786794862474
claude-opus-4.6,Claude Opus 4.6,343,metric geometry - area,unknown,0.22633707523345947,0.9099324941635132,0.006880451925098896,0.01366687000090916
