model,model_name,image_id,category,code_language,dists,clip_sim,edge_iou,edge_f1
gpt-oss,GPT-OSS,2894,metric geometry - angle,tikz,0.12725180387496948,0.9931614995002747,0.20146436989307404,0.3353646902171184
gpt-oss,GPT-OSS,2895,metric geometry - angle,tikz,0.21238750219345093,0.9193665385246277,0.04916781187057495,0.09372725913825311
gpt-oss,GPT-OSS,2896,metric geometry - length,tikz,0.2489522099494934,0.9023948311805725,0.11299339681863785,0.20304414934087373
gpt-oss,GPT-OSS,2897,metric geometry - area,tikz,0.2976999878883362,0.890301525592804,0.01635502092540264,0.03218367635815976
gpt-oss,GPT-OSS,2898,metric geometry - angle,tikz,0.1331111192703247,0.9632747173309326,0.0864255353808403,0.1591007120339868
gpt-oss,GPT-OSS,2899,metric geometry - area,tikz,0.19855952262878418,0.9731490612030029,0.06773011386394501,0.12686747264879464
gpt-oss,GPT-OSS,29,counting,tikz,0.14860552549362183,0.9584986567497253,0.16212007403373718,0.27900744681062695
gpt-oss,GPT-OSS,290,metric geometry - angle,tikz,0.321685791015625,0.9722829461097717,0.04001658782362938,0.07695375052825233
gpt-oss,GPT-OSS,2900,metric geometry - area,tikz,0.22864842414855957,0.9745707511901855,0.24290058016777039,0.39086082609957934
gpt-oss,GPT-OSS,2901,metric geometry - length,tikz,0.21532678604125977,0.9420214295387268,0.05049524083733559,0.09613607192442924
gpt-oss,GPT-OSS,2902,metric geometry - length,tikz,0.22972387075424194,0.8897749185562134,0.10765255242586136,0.19437963886378634
gpt-oss,GPT-OSS,2903,analytic geometry,tikz,0.1993575096130371,0.9772228598594666,0.03546657785773277,0.0685035686309333
gpt-oss,GPT-OSS,2904,metric geometry - length,tikz,0.139121413230896,0.9765245318412781,0.05893361195921898,0.1113074783883634
gpt-oss,GPT-OSS,2905,metric geometry - angle,tikz,0.21146881580352783,0.9672393798828125,0.06067732721567154,0.114412416017049
gpt-oss,GPT-OSS,2906,metric geometry - area,tikz,0.23438918590545654,0.959572970867157,0.08180315047502518,0.15123481840838368
gpt-oss,GPT-OSS,2907,metric geometry - area,tikz,0.18449997901916504,0.9537597298622131,0.10195492953062057,0.1850437302721983
gpt-oss,GPT-OSS,2908,metric geometry - length,tikz,0.636023759841919,0.7079297304153442,0.0,0.0
gpt-oss,GPT-OSS,2909,analytic geometry,tikz,0.31045734882354736,0.9401103258132935,0.06231721118092537,0.11732316770883748
gpt-oss,GPT-OSS,291,analytic geometry,tikz,0.3292900323867798,0.9262015223503113,0.0359576977789402,0.06941923892047663
gpt-oss,GPT-OSS,2910,metric geometry - area,tikz,0.2972681522369385,0.9439261555671692,0.10790730267763138,0.19479481123359202
gpt-oss,GPT-OSS,2911,metric geometry - area,tikz,0.11304724216461182,0.986286997795105,0.2964863181114197,0.4573689799966793
gpt-oss,GPT-OSS,2912,metric geometry - length,tikz,0.2258862853050232,0.950941801071167,0.03080039657652378,0.05976015726810274
gpt-oss,GPT-OSS,2913,solid geometry,tikz,0.4306997060775757,0.7694166302680969,0.06664814800024033,0.12496744574891326
gpt-oss,GPT-OSS,2914,metric geometry - angle,tikz,0.18718576431274414,0.9720931649208069,0.05204946547746658,0.09894870492354635
gpt-oss,GPT-OSS,2915,metric geometry - angle,tikz,0.269758939743042,0.9654307961463928,0.028835464268922806,0.05605456771082439
gpt-oss,GPT-OSS,2916,metric geometry - length,tikz,0.3012962341308594,0.9129009246826172,0.05494505539536476,0.1041666659778237
gpt-oss,GPT-OSS,2917,combinatorial geometry,tikz,0.40378880500793457,0.9035975933074951,0.07129494845867157,0.1331004998608905
gpt-oss,GPT-OSS,2918,metric geometry - angle,tikz,0.18986982107162476,0.9470615386962891,0.0612582266330719,0.11544452542130813
gpt-oss,GPT-OSS,2919,combinatorial geometry,tikz,0.11406046152114868,0.978495717048645,0.4629982113838196,0.6329443250775043
gpt-oss,GPT-OSS,292,transformation geometry,tikz,0.28830409049987793,0.9202205538749695,0.0829632505774498,0.15321525985777157
gpt-oss,GPT-OSS,2920,metric geometry - angle,tikz,0.2280176877975464,0.929627537727356,0.07403269410133362,0.13785929827492915
gpt-oss,GPT-OSS,2921,metric geometry - length,tikz,0.26053816080093384,0.9203124642372131,0.02661018818616867,0.05184087936106637
gpt-oss,GPT-OSS,2922,metric geometry - angle,tikz,0.27222228050231934,0.9067193269729614,0.06568160653114319,0.12326684989627018
gpt-oss,GPT-OSS,2923,analytic geometry,tikz,0.24559170007705688,0.9722143411636353,0.042899034917354584,0.0822688203531619
gpt-oss,GPT-OSS,2924,metric geometry - area,tikz,0.16541850566864014,0.9318413138389587,0.11768275499343872,0.21058346051283908
gpt-oss,GPT-OSS,2925,metric geometry - area,tikz,0.29794764518737793,0.8996064066886902,0.05232624337077141,0.0994487062325179
gpt-oss,GPT-OSS,2926,metric geometry - area,tikz,0.26506638526916504,0.8579457998275757,0.11232474446296692,0.20196394417298594
gpt-oss,GPT-OSS,2927,analytic geometry,tikz,0.2061976194381714,0.9747519493103027,0.12718668580055237,0.2256710274944963
gpt-oss,GPT-OSS,2928,transformation geometry,tikz,0.2815614342689514,0.9123549461364746,0.08947443962097168,0.1642524886174405
gpt-oss,GPT-OSS,293,graph theory,tikz,0.2440003752708435,0.9371142983436584,0.06601889431476593,0.12386064629950956
gpt-oss,GPT-OSS,2930,metric geometry - angle,tikz,0.23997563123703003,0.9523683190345764,0.02152978628873825,0.042152048438088945
